i,num_particles,inertia,cognition,social,tau,epoch_stop,solution_found,fitness,found
0,40,0.5,1,1,1,499,[1.00000002 1.00000004],3.2476834542339105e-15,True
1,40,0.5,1,1,1,499,[1.00000239 1.0000048 ],5.781686196545879e-12,True
2,40,0.5,1,1,1,499,[1.00000001 1.00000002],7.812627691305147e-17,True
3,40,0.5,1,1,1,499,[1. 1.],8.057511711597454e-19,True
4,40,0.5,1,1,1,499,[0.99999997 0.99999995],6.507911431023351e-15,True
5,40,0.5,1,1,1,499,[1. 1.],0.0,True
6,40,0.5,1,1,1,499,[0.99999991 0.99999982],7.786661359913703e-15,True
7,40,0.5,1,1,1,499,[1.00001037 1.0000208 ],1.079167258775986e-10,False
8,40,0.5,1,1,1,499,[0.999849   0.99967912],5.852807997305733e-08,False
9,40,0.5,1,1,1,499,[0.99999533 0.99999143],8.072954941302563e-11,True
10,40,0.5,1,1,1,499,[1.00002099 1.00004217],4.441586231916375e-10,False
11,40,0.5,1,1,1,499,[0.99999964 0.99999934],3.917846038993982e-13,True
12,40,0.5,1,1,1,499,[1.00000005 1.0000001 ],2.4417031655870762e-15,True
13,40,0.5,1,1,1,499,[0.99569709 0.99214918],7.275734362176203e-05,False
14,40,0.5,1,1,1,499,[0.99999483 0.9999894 ],3.389531056871093e-11,True
15,40,0.5,1,1,1,499,[1.00000027 1.00000054],7.255157923912795e-14,True
16,40,0.5,1,1,1,499,[0.99994067 0.99988015],3.660974104214207e-09,False
17,40,0.5,1,1,1,499,[1. 1.],3.849771487799058e-21,True
18,40,0.5,1,1,1,499,[0.99998923 0.99997803],1.33933587792323e-10,False
19,40,0.5,1,1,1,499,[0.99999981 0.99999958],1.6719721298634425e-13,True
20,40,0.5,1,1,1,499,[1. 1.],9.030145117132675e-20,True
21,40,0.5,1,1,1,499,[1. 1.],2.164186700003687e-19,True
22,40,0.5,1,1,1,499,[1.00000192 1.00000374],4.8131653510976266e-12,True
23,40,0.5,1,1,1,499,[1. 1.],3.1554436208840472e-30,True
24,40,0.5,1,1,1,499,[1.00000054 1.00000109],3.171534419498765e-13,True
25,40,0.5,1,1,1,499,[1.00000023 1.00000037],8.807399835859912e-13,True
26,40,0.5,1,1,1,499,[0.99999903 0.9999981 ],1.0735839660562633e-12,True
27,40,0.5,1,1,1,499,[1.         1.00000001],1.0681760504565381e-17,True
28,40,0.5,1,1,1,499,[0.99999991 0.99999986],8.243566989410336e-14,True
29,40,0.5,1,1,1,499,[0.99999999 0.99999998],1.519046494769124e-16,True
30,40,0.5,1,1,1,499,[1.00000001 1.00000002],8.974313562262265e-17,True
31,40,0.5,1,1,1,499,[1.         0.99999999],1.8846067622869098e-17,True
32,40,0.5,1,1,1,499,[1.00000004 1.00000009],2.139156342032349e-15,True
33,40,0.5,1,1,1,499,[0.99999994 0.99999993],1.6624775706119651e-13,True
34,40,0.5,1,1,1,499,[0.99999789 0.99999613],1.6550962994020205e-11,True
35,40,0.5,1,1,1,499,[1. 1.],3.541450093359163e-18,True
36,40,0.5,1,1,1,499,[0.99999789 0.99999546],1.4136516291111768e-11,True
37,40,0.5,1,1,1,499,[0.99997434 0.99994903],6.710492186988014e-10,False
38,40,0.5,1,1,1,499,[0.99999849 0.99999699],2.2746194110378067e-12,True
39,40,0.5,1,1,1,499,[1.00001008 1.00004846],8.018143013642963e-08,False
40,40,0.5,1,1,1,499,[1.00000008 1.00000017],1.8252341703850167e-14,True
41,40,0.5,1,1,1,499,[1.00000012 1.00000023],1.3349764050193477e-14,True
42,40,0.5,1,1,1,499,[0.99999902 0.999998  ],1.0820159061690497e-12,True
43,40,0.5,1,1,1,499,[1.00000769 1.00001543],5.939329899479857e-11,True
44,40,0.5,1,1,1,499,[1.00000096 1.00000192],9.39398183844611e-13,True
45,40,0.5,1,1,1,499,[1. 1.],6.971576413413035e-23,True
46,40,0.5,1,1,1,499,[1. 1.],1.187211996176095e-19,True
47,40,0.5,1,1,1,499,[1. 1.],1.2047878174987903e-27,True
48,40,0.5,1,1,1,499,[1.00000007 1.00000014],5.18565092238486e-15,True
