particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,2,392,[1. 1.],6.79586024015528e-24
40,0.5,1,2,225,[1. 1.],6.740753617325995e-19
40,0.5,1,2,465,[1. 1.],0.0
40,0.5,1,2,308,[1. 1.],5.649800055229572e-20
40,0.5,1,2,222,[1.00000001 1.00000002],1.6626283862746105e-16
40,0.5,1,2,320,[1. 1.],2.674860448545142e-24
40,0.5,1,2,329,[1. 1.],1.4426428157102174e-25
40,0.5,1,2,258,[0.99999998 0.99999995],6.047751978557832e-16
40,0.5,1,2,231,[1. 1.],2.2648180139284156e-18
40,0.5,1,2,207,[1. 1.],8.645114753033628e-20
40,0.5,1,2,375,[1. 1.],3.364135799610086e-24
40,0.5,1,2,220,[1.00000001 1.00000001],3.418247633092258e-17
40,0.5,1,2,202,[1.0000001  1.00000019],9.169776694046173e-15
40,0.5,1,2,375,[1. 1.],2.2783289018914347e-28
40,0.5,1,2,529,[1. 1.],7.815885937510056e-27
40,0.5,1,2,276,[1. 1.],1.590046599524394e-18
40,0.5,1,2,298,[1. 1.],2.5021035446825382e-21
40,0.5,1,2,245,[1. 1.],2.1651823938135273e-18
40,0.5,1,2,264,[1.00000001 1.00000001],3.437728230341574e-17
40,0.5,1,2,217,[1. 1.],6.337872407102023e-20
40,0.5,1,2,230,[1.         1.00000001],1.9568893158158183e-17
40,0.5,1,2,211,[1.         0.99999999],5.62797544740447e-17
40,0.5,1,2,471,[1. 1.],2.6346598379700946e-25
40,0.5,1,2,315,[1. 1.],4.752886953956596e-29
40,0.5,1,2,309,[1. 1.],2.76921603371957e-20
40,0.5,1,2,239,[1.00000001 1.00000002],7.322150651424297e-17
40,0.5,1,2,258,[1. 1.],9.070858077804583e-20
40,0.5,1,2,209,[0.99999999 0.99999998],7.03417178970834e-17
40,0.5,1,2,231,[1. 1.],7.322267077527243e-18
40,0.5,1,2,399,[1. 1.],4.2624646042319786e-20
40,0.5,1,2,190,[0.99999995 0.99999989],2.986862575251283e-15
40,0.5,1,2,240,[1. 1.],8.971786427005103e-21
40,0.5,1,2,194,[0.99999999 0.99999998],1.0909806414695179e-16
40,0.5,1,2,198,[0.99999999 0.99999999],4.697655446170622e-17
40,0.5,1,2,231,[1. 1.],1.4191157348887115e-22
40,0.5,1,2,281,[1. 1.],2.7615850924298266e-26
40,0.5,1,2,259,[1. 1.],4.368196416100126e-18
40,0.5,1,2,244,[1. 1.],2.5580441644460277e-17
40,0.5,1,2,301,[1. 1.],7.835712534224068e-20
40,0.5,1,2,352,[1. 1.],1.9212713119617035e-19
40,0.5,1,2,197,[1.         0.99999999],1.1323052602335023e-16
40,0.5,1,2,507,[1. 1.],2.4163795603051118e-26
40,0.5,1,2,274,[1. 1.],1.928984150678329e-19
40,0.5,1,2,209,[1. 1.],4.390032485487772e-21
40,0.5,1,2,253,[1. 1.],2.6864971321198344e-19
40,0.5,1,2,249,[1. 1.],6.064943514251153e-19
40,0.5,1,2,368,[1. 1.],7.591903674614523e-26
40,0.5,1,2,235,[0.99999998 0.99999996],4.780895964246209e-16
40,0.5,1,2,270,[1. 1.],5.433033961353653e-20
40,0.5,1,2,413,[1. 1.],4.930380657631324e-32
40,0.5,1,2,258,[1. 1.],6.519220074910772e-18
40,0.5,1,2,233,[1. 1.],2.7264924220711798e-18
40,0.5,1,2,180,[1.00000001 1.00000001],5.945654482043816e-17
40,0.5,1,2,219,[1.         0.99999999],1.9278518007849593e-17
40,0.5,1,2,349,[1. 1.],1.1905661929060783e-18
40,0.5,1,2,248,[1. 1.],7.831748092445635e-20
40,0.5,1,2,228,[1. 1.],9.679281291422813e-20
40,0.5,1,2,199,[1.00000025 1.00000048],1.223911859118085e-13
40,0.5,1,2,258,[1. 1.],5.7584311672697956e-21
40,0.5,1,2,443,[1. 1.],1.7749370367472766e-30
40,0.5,1,2,224,[1. 1.],9.453601448729374e-18
40,0.5,1,2,279,[1. 1.],2.554172234036384e-19
40,0.5,1,2,177,[1.00000002 1.00000003],3.519327069418984e-16
40,0.5,1,2,216,[1. 1.],2.524809669591784e-18
40,0.5,1,2,323,[1.00000006 1.00000013],5.295123713545412e-15
40,0.5,1,2,240,[1. 1.],1.3461342021991983e-18
40,0.5,1,2,215,[1.00000001 1.00000001],5.0344157131814394e-17
40,0.5,1,2,240,[1. 1.],3.038342375731702e-19
40,0.5,1,2,240,[1. 1.],2.864201311147019e-20
40,0.5,1,2,449,[1. 1.],2.5231716053494063e-27
40,0.5,1,2,233,[1. 1.],9.52356135349042e-19
40,0.5,1,2,244,[1.         0.99999999],1.5334528891783184e-17
40,0.5,1,2,169,[1.00000001 1.00000001],3.377679136339078e-17
40,0.5,1,2,210,[1. 1.],2.8741816507166725e-18
40,0.5,1,2,237,[1.         1.00000001],1.9735307759453648e-17
