particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,2,394,[1. 1.],5.577493118945435e-29
40,0.5,1,2,205,[1.00000001 1.00000001],2.9763870224839614e-17
40,0.5,1,2,270,[0.99999999 0.99999999],3.657974660874579e-17
40,0.5,1,2,265,[1. 1.],1.4994155376156405e-23
40,0.5,1,2,233,[0.99999998 0.99999995],5.610741099122515e-16
40,0.5,1,2,230,[1. 1.],3.067553088132009e-19
40,0.5,1,2,379,[1.00000004 1.00000008],1.5492422408864478e-15
40,0.5,1,2,210,[1. 1.],1.936362062810774e-20
40,0.5,1,2,240,[1.00000001 1.00000002],8.4186619318321e-17
40,0.5,1,2,197,[0.99999995 0.99999991],2.110234192597389e-15
40,0.5,1,2,231,[1. 1.],2.932514868971753e-18
40,0.5,1,2,317,[1. 1.],6.450528448685643e-21
40,0.5,1,2,237,[1. 1.],1.3490548694052516e-17
40,0.5,1,2,218,[1. 1.],5.4242593118311565e-18
40,0.5,1,2,410,[1. 1.],1.4593926746588718e-29
40,0.5,1,2,456,[1. 1.],8.852941813687264e-22
40,0.5,1,2,238,[1. 1.],4.652623795942379e-21
40,0.5,1,2,245,[1. 1.],3.9076256329884315e-21
40,0.5,1,2,276,[1. 1.],1.2499273436759544e-19
40,0.5,1,2,227,[1. 1.],1.1969280217402874e-20
40,0.5,1,2,175,[1.00000002 1.00000005],9.203601878302278e-16
40,0.5,1,2,180,[1. 1.],1.1991168467624882e-18
40,0.5,1,2,219,[1. 1.],1.6855177939281654e-17
40,0.5,1,2,225,[1. 1.],1.9885856697637316e-20
40,0.5,1,2,238,[1. 1.],3.166152873716654e-22
40,0.5,1,2,441,[1. 1.],1.9721522630525295e-31
40,0.5,1,2,314,[1.         1.00000001],8.084605343619463e-18
40,0.5,1,2,241,[1.         0.99999999],1.3621001043748845e-17
40,0.5,1,2,188,[1. 1.],9.418600801341492e-19
40,0.5,1,2,438,[1. 1.],2.288318498015335e-19
40,0.5,1,2,320,[1. 1.],3.507788344201012e-26
40,0.5,1,2,225,[1. 1.],2.9442110821627777e-18
40,0.5,1,2,219,[1.         1.00000001],8.186411692097714e-18
40,0.5,1,2,300,[1. 1.],2.5227605118125467e-20
40,0.5,1,2,248,[1. 1.],6.432872832896012e-21
40,0.5,1,2,255,[1. 1.],1.1681789461413005e-21
40,0.5,1,2,185,[0.99999997 0.99999994],7.770897702267695e-16
40,0.5,1,2,432,[1. 1.],2.5195674970886778e-26
40,0.5,1,2,222,[1. 1.],2.847073996992124e-20
40,0.5,1,2,220,[1. 1.],4.713366047013681e-18
40,0.5,1,2,211,[1. 1.],8.353791291987372e-15
40,0.5,1,2,270,[1. 1.],5.411133955220011e-19
40,0.5,1,2,217,[1. 1.],7.95475206981087e-20
40,0.5,1,2,309,[1. 1.],6.673011331054194e-21
40,0.5,1,2,252,[1. 1.],1.1160436809916597e-19
40,0.5,1,2,230,[1. 1.],2.2851870164408498e-20
40,0.5,1,2,233,[1.00000001 1.00000002],3.0917637124060047e-16
40,0.5,1,2,191,[0.99999912 0.99999821],8.443276238202195e-13
40,0.5,1,2,220,[1. 1.],2.5084927920079235e-19
40,0.5,1,2,211,[1.00000001 1.00000001],7.216098315726061e-17
40,0.5,1,2,253,[1. 1.],1.3980088549290974e-18
40,0.5,1,2,311,[1. 1.],1.7482059132469215e-21
40,0.5,1,2,518,[1. 1.],0.0
40,0.5,1,2,191,[0.99999998 0.99999995],1.070369534003683e-15
40,0.5,1,2,244,[1. 1.],7.433074000924272e-19
40,0.5,1,2,234,[1. 1.],1.5706282075079276e-20
40,0.5,1,2,269,[1. 1.],7.806404461134321e-22
40,0.5,1,2,233,[1.00000003 1.00000006],9.206646725754435e-16
40,0.5,1,2,383,[0.99999999 0.99999999],2.6826791154863555e-17
40,0.5,1,2,168,[0.99999999 0.99999997],2.422278353558605e-16
40,0.5,1,2,233,[0.99999999 0.99999999],4.7644033077075415e-17
40,0.5,1,2,252,[1. 1.],8.985457996250508e-19
40,0.5,1,2,315,[1. 1.],1.479168693718648e-20
40,0.5,1,2,209,[0.99999998 0.99999995],7.517923447294457e-16
40,0.5,1,2,193,[1. 1.],2.864070681690915e-17
40,0.5,1,2,227,[1. 1.],2.201878878629858e-19
40,0.5,1,2,205,[1.00000001 1.00000002],1.2398901033432113e-16
40,0.5,1,2,193,[0.99999998 0.99999995],5.258671625100538e-16
40,0.5,1,2,244,[1. 1.],6.018047396021135e-19
40,0.5,1,2,334,[0.9999999 0.9999998],9.851754738072526e-15
40,0.5,1,2,233,[1. 1.],7.459390326717431e-25
40,0.5,1,2,325,[1. 1.],5.518344191355786e-19
40,0.5,1,2,242,[1. 1.],1.6997253215334515e-19
40,0.5,1,2,274,[1. 1.],3.650851115738107e-18
40,0.5,1,2,315,[1. 1.],2.9192172684127226e-22
