particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,212,[1. 1.],6.223874933004753e-19
40,0.5,1,1,313,[1. 1.],8.253158002856928e-20
40,0.5,1,1,402,[1.00000313 1.00000625],9.839939099424998e-12
40,0.5,1,1,332,[1. 1.],8.741031705945364e-19
40,0.5,1,1,364,[1. 1.],3.90013324579334e-26
40,0.5,1,1,526,[1. 1.],0.0
40,0.5,1,1,412,[1. 1.],2.2107699570612654e-18
40,0.5,1,1,681,[1. 1.],6.163880414682905e-20
40,0.5,1,1,451,[1.00000043 1.00000085],1.822426183194908e-13
40,0.5,1,1,212,[0.99999941 0.99999882],3.5418683883462105e-13
40,0.5,1,1,253,[1. 1.],6.7032177367339065e-18
40,0.5,1,1,234,[1. 1.],1.6926768998797313e-22
40,0.5,1,1,304,[1. 1.],1.670406902206172e-19
40,0.5,1,1,211,[1.00000002 1.00000003],2.4749471661316685e-16
40,0.5,1,1,223,[1.00000001 1.00000002],9.245012536110816e-17
40,0.5,1,1,294,[1. 1.],6.295230502445424e-23
40,0.5,1,1,286,[1.00000033 1.00000066],1.1034929154164541e-13
40,0.5,1,1,498,[1. 1.],0.0
40,0.5,1,1,284,[1. 1.],2.0062650645401511e-22
40,0.5,1,1,187,[1.00000001 1.00000001],7.59340710112823e-17
40,0.5,1,1,480,[1. 1.],9.612556585234237e-21
40,0.5,1,1,233,[1.00000005 1.0000001 ],3.3768064245227384e-15
40,0.5,1,1,193,[0.99999998 0.99999997],3.553096207262979e-16
40,0.5,1,1,238,[0.99999982 0.99999965],3.1280667403850253e-14
40,0.5,1,1,197,[1.00000013 1.00000025],1.6363022189690592e-14
40,0.5,1,1,290,[1. 1.],8.126056184681643e-27
40,0.5,1,1,444,[1.00000022 1.00000045],5.52418639304457e-14
40,0.5,1,1,243,[1. 1.],3.1991596774747475e-18
40,0.5,1,1,746,[0.99999999 0.99999998],1.207544921100647e-16
40,0.5,1,1,271,[1. 1.],5.01926075300596e-25
40,0.5,1,1,639,[1. 1.],5.832291214289568e-21
40,0.5,1,1,171,[0.99999696 0.99999392],9.227159202595648e-12
