particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,243,[1. 1.],3.512855699259333e-20
40,0.5,1,1,212,[1.         0.99999999],2.3360085437423417e-17
40,0.5,1,1,321,[0.99999999 0.99999999],3.1460373801302834e-17
40,0.5,1,1,259,[1.00000032 1.00000064],1.1600163056961246e-13
40,0.5,1,1,226,[1. 1.],5.242247223826258e-21
40,0.5,1,1,411,[1.00000789 1.00001568],6.331700632836832e-11
40,0.5,1,1,435,[1. 1.],3.1554436208840472e-30
40,0.5,1,1,303,[1.00000005 1.0000001 ],2.512268579976229e-15
40,0.5,1,1,312,[0.99999998 0.99999996],3.7026217467414747e-16
40,0.5,1,1,385,[1.         1.00000001],1.631917143710399e-17
40,0.5,1,1,539,[1. 1.],2.6421909727309515e-22
40,0.5,1,1,286,[1. 1.],3.6693993196252463e-22
40,0.5,1,1,324,[1. 1.],1.0733386091404308e-21
40,0.5,1,1,283,[1.00000417 1.00000835],1.7388137275906902e-11
40,0.5,1,1,350,[1. 1.],6.647342335611598e-18
40,0.5,1,1,157,[1.00000916 1.00001831],8.393180526098868e-11
40,0.5,1,1,377,[1. 1.],1.651135178434154e-27
40,0.5,1,1,364,[1.00000111 1.00000225],1.380760443094039e-12
40,0.5,1,1,488,[1. 1.],1.597443333072549e-29
40,0.5,1,1,413,[1. 1.],1.0639187065685193e-19
40,0.5,1,1,332,[1. 1.],4.596843581800746e-22
40,0.5,1,1,209,[1.         0.99999999],2.9674555828963416e-17
40,0.5,1,1,415,[1. 1.],2.9339659742295177e-22
40,0.5,1,1,267,[1. 1.],2.530936149002624e-19
40,0.5,1,1,335,[1. 1.],8.951401906769126e-27
40,0.5,1,1,275,[1. 1.],1.215153420187952e-16
40,0.5,1,1,471,[1. 1.],0.0
40,0.5,1,1,437,[1. 1.],1.1093356479670479e-29
40,0.5,1,1,293,[1. 1.],9.529194170307187e-20
40,0.5,1,1,276,[1. 1.],5.524240942374583e-18
40,0.5,1,1,344,[1. 1.],5.787387273199845e-20
40,0.5,1,1,396,[1.         0.99999999],1.4184479272734092e-17
40,0.5,1,1,237,[1. 1.],3.835260937815667e-17
40,0.5,1,1,245,[1.00000001 1.00000003],2.0001987411834032e-16
40,0.5,1,1,289,[1. 1.],2.165186886636904e-20
40,0.5,1,1,352,[1. 1.],4.579861407752847e-26
40,0.5,1,1,205,[1.00000001 1.00000002],6.835284661617809e-17
40,0.5,1,1,493,[1.00000016 1.00000031],3.163970135402843e-14
40,0.5,1,1,560,[1. 1.],3.776514908574246e-24
40,0.5,1,1,261,[1. 1.],1.1462911508489663e-19
40,0.5,1,1,281,[1.00000029 1.00000059],9.5581854506777e-14
40,0.5,1,1,239,[1. 1.],9.860743618342286e-19
40,0.5,1,1,280,[1. 1.],3.345210533455768e-24
40,0.5,1,1,592,[0.99999994 0.99999989],3.327283378143323e-15
40,0.5,1,1,448,[1. 1.],1.0218213912940919e-29
40,0.5,1,1,275,[0.99999982 0.99999963],3.846525962389757e-14
40,0.5,1,1,234,[1. 1.],1.7603386427227968e-19
40,0.5,1,1,208,[1. 1.],1.0427381170058199e-19
40,0.5,1,1,187,[0.9999997  0.99999939],9.168683161116234e-14
40,0.5,1,1,204,[0.99999995 0.99999991],2.0657838126057436e-15
40,0.5,1,1,352,[1.00000001 1.00000002],1.6239617714743906e-16
40,0.5,1,1,287,[1. 1.],1.7628458482596993e-22
40,0.5,1,1,191,[1. 1.],1.3169384478645094e-18
40,0.5,1,1,494,[1. 1.],1.25713477827651e-25
40,0.5,1,1,375,[1. 1.],1.6292581426839189e-24
40,0.5,1,1,320,[1. 1.],2.225424725051282e-18
40,0.5,1,1,413,[1. 1.],2.465190328815662e-28
40,0.5,1,1,284,[1.00000023 1.00000046],5.228043617588655e-14
40,0.5,1,1,932,[1. 1.],3.1388378881757224e-18
40,0.5,1,1,340,[1. 1.],5.552654354230354e-25
40,0.5,1,1,241,[1. 1.],1.1751240097211544e-21
40,0.5,1,1,260,[1. 1.],6.020937875189076e-18
40,0.5,1,1,270,[1.         0.99999999],1.2102461566541374e-17
40,0.5,1,1,458,[0.99999999 0.99999999],7.485275392035626e-17
40,0.5,1,1,855,[1.         1.00000001],7.145352459394742e-18
40,0.5,1,1,512,[1. 1.],1.2696962788565067e-28
