particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,3,550,[1. 1.],3.6484620883840655e-25
40,0.5,1,3,501,[1. 1.],3.8664858216030145e-18
40,0.5,1,3,492,[1. 1.],7.065061563207989e-25
40,0.5,1,3,663,[1. 1.],1.0103867973635835e-21
40,0.5,1,3,753,[1. 1.],9.208650680556863e-24
40,0.5,1,3,597,[1. 1.],2.796411132027845e-24
40,0.5,1,3,559,[1. 1.],6.28638727550617e-21
40,0.5,1,3,538,[1. 1.],3.255932451591472e-23
40,0.5,1,3,503,[1.         1.00000001],1.1666130806777274e-17
40,0.5,1,3,517,[1. 1.],3.075388584439676e-22
40,0.5,1,3,503,[1. 1.],1.14681886691669e-25
40,0.5,1,3,646,[1. 1.],4.27357634984328e-24
40,0.5,1,3,521,[1. 1.],1.9004982624480676e-18
40,0.5,1,3,568,[1. 1.],8.486589777232867e-25
40,0.5,1,3,541,[1. 1.],1.0289730090177515e-22
40,0.5,1,3,746,[1. 1.],1.5296505990301182e-29
40,0.5,1,3,705,[1. 1.],1.1525435812020723e-24
40,0.5,1,3,569,[1. 1.],3.432611163885835e-21
40,0.5,1,3,676,[1. 1.],3.274080905458301e-27
40,0.5,1,3,773,[1. 1.],9.329512799402872e-29
40,0.5,1,3,530,[1. 1.],1.9265262172283988e-21
40,0.5,1,3,571,[1. 1.],6.913946628843969e-21
40,0.5,1,3,718,[1. 1.],6.287175542349825e-23
40,0.5,1,3,630,[1. 1.],7.026816184445875e-22
40,0.5,1,3,667,[1. 1.],4.122960983143951e-22
40,0.5,1,3,563,[1. 1.],1.1465743816658297e-22
40,0.5,1,3,605,[1. 1.],3.8560244876387404e-23
40,0.5,1,3,463,[1. 1.],1.822445404440754e-19
40,0.5,1,3,644,[1. 1.],9.992582131834591e-21
40,0.5,1,3,565,[1. 1.],1.694490505336076e-20
40,0.5,1,3,881,[1. 1.],6.710248075036232e-29
40,0.5,1,3,583,[1. 1.],3.541419117655917e-22
40,0.5,1,3,639,[1. 1.],2.6078854922137487e-22
40,0.5,1,3,536,[1. 1.],2.8047123063725187e-19
40,0.5,1,3,637,[1. 1.],7.496859464499915e-23
40,0.5,1,3,505,[1. 1.],1.1400576596720976e-21
40,0.5,1,3,720,[1. 1.],3.4910946915918547e-25
40,0.5,1,3,574,[1. 1.],1.2361300240331682e-19
40,0.5,1,3,588,[1. 1.],2.112539740090137e-20
40,0.5,1,3,617,[1. 1.],5.65267945182205e-25
40,0.5,1,3,551,[1. 1.],3.719240340478015e-24
40,0.5,1,3,593,[1. 1.],5.0938596359575986e-23
40,0.5,1,3,588,[1. 1.],9.238057492255045e-24
40,0.5,1,3,525,[1. 1.],2.3934381953937047e-22
40,0.5,1,3,431,[1.00000002 1.00000004],3.431037823251286e-16
40,0.5,1,3,442,[1. 1.],6.341992530948647e-21
40,0.5,1,3,555,[1. 1.],5.8984377885979016e-24
40,0.5,1,3,696,[1. 1.],7.330502287717896e-24
40,0.5,1,3,534,[1. 1.],7.02687247275295e-23
40,0.5,1,3,598,[1. 1.],1.3155931923983967e-26
40,0.5,1,3,558,[1. 1.],4.713071093524776e-22
40,0.5,1,3,580,[1. 1.],4.280147308554222e-18
40,0.5,1,3,592,[1. 1.],9.066747730846103e-22
40,0.5,1,3,548,[1. 1.],8.564663666735863e-21
40,0.5,1,3,535,[1. 1.],3.1398173277712734e-22
40,0.5,1,3,480,[1. 1.],3.4360933371275827e-23
40,0.5,1,3,552,[1. 1.],1.5647968449424706e-20
40,0.5,1,3,694,[1. 1.],1.6136277326293402e-21
40,0.5,1,3,824,[1. 1.],1.1093356479670479e-31
40,0.5,1,3,601,[1. 1.],1.0976622087836989e-23
40,0.5,1,3,580,[1. 1.],5.315417944305288e-21
40,0.5,1,3,720,[1. 1.],4.203982744961843e-26
40,0.5,1,3,599,[1. 1.],1.9083186246781768e-24
40,0.5,1,3,591,[1. 1.],8.417920370233551e-22
40,0.5,1,3,629,[1. 1.],9.314226647211952e-25
40,0.5,1,3,638,[1. 1.],7.257889881757273e-22
40,0.5,1,3,625,[1. 1.],1.2749196288957903e-21
40,0.5,1,3,687,[1. 1.],3.063462439335277e-26
40,0.5,1,3,671,[1. 1.],1.3999763339207856e-22
40,0.5,1,3,539,[1. 1.],4.772781089213945e-24
40,0.5,1,3,647,[1. 1.],1.4869103617042767e-24
40,0.5,1,3,421,[1. 1.],3.905057693045999e-21
40,0.5,1,3,626,[1. 1.],9.833623099894938e-23
40,0.5,1,3,598,[1. 1.],1.1826200323200978e-21
40,0.5,1,3,588,[1. 1.],7.240695909403159e-24
