particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,3,615,[1. 1.],6.914020707616134e-25
40,0.5,1,3,455,[0.99999999 0.99999999],3.314854992407122e-17
40,0.5,1,3,464,[1. 1.],6.497294998276747e-18
40,0.5,1,3,708,[1. 1.],8.474320926952613e-19
40,0.5,1,3,533,[1. 1.],5.818303124006256e-18
40,0.5,1,3,629,[1. 1.],4.7882770291018475e-24
40,0.5,1,3,591,[1. 1.],2.0341039258260578e-24
40,0.5,1,3,539,[1. 1.],1.6540237319218743e-21
40,0.5,1,3,645,[1. 1.],2.0728315679726092e-21
40,0.5,1,3,578,[1. 1.],1.434390344565474e-23
40,0.5,1,3,517,[1. 1.],5.0095469270922714e-21
40,0.5,1,3,534,[1. 1.],1.703833847916086e-24
40,0.5,1,3,575,[1. 1.],9.570839857462027e-22
40,0.5,1,3,399,[1. 1.],7.122988257868986e-20
40,0.5,1,3,520,[1. 1.],1.3122387209904358e-20
40,0.5,1,3,644,[1. 1.],1.6877982827955864e-23
40,0.5,1,3,642,[1. 1.],6.852101249706957e-21
40,0.5,1,3,677,[1. 1.],5.524333131494739e-22
40,0.5,1,3,732,[1. 1.],2.3291118226650374e-28
40,0.5,1,3,594,[1. 1.],4.540792967832506e-19
40,0.5,1,3,775,[1. 1.],2.6363977971519096e-28
40,0.5,1,3,603,[1. 1.],9.52089653712707e-22
40,0.5,1,3,657,[1. 1.],4.2741955514196916e-23
40,0.5,1,3,607,[1. 1.],8.112425339264231e-22
40,0.5,1,3,511,[1. 1.],6.2521590459535156e-18
40,0.5,1,3,602,[1. 1.],2.5669527254112024e-22
40,0.5,1,3,916,[1. 1.],3.9195978955916027e-25
40,0.5,1,3,466,[1. 1.],2.837725044076004e-19
40,0.5,1,3,592,[1. 1.],8.297941087320249e-25
40,0.5,1,3,677,[1. 1.],1.3990584232600795e-24
40,0.5,1,3,524,[1. 1.],1.9187412393344718e-20
40,0.5,1,3,565,[1. 1.],7.756849250134192e-23
40,0.5,1,3,601,[1. 1.],6.899385504955275e-21
40,0.5,1,3,548,[1. 1.],5.189046274908644e-22
40,0.5,1,3,579,[1. 1.],3.8554729949799004e-23
40,0.5,1,3,501,[1. 1.],7.398396874334324e-20
40,0.5,1,3,984,[1. 1.],1.240483773460041e-28
40,0.5,1,3,508,[1. 1.],1.631494693276721e-19
40,0.5,1,3,528,[1. 1.],1.1468143657749724e-21
40,0.5,1,3,603,[1. 1.],5.336541829355064e-24
40,0.5,1,3,686,[1. 1.],2.3127922626882777e-27
40,0.5,1,3,376,[1. 1.],1.746546807695235e-18
40,0.5,1,3,608,[1. 1.],2.0439632288579814e-22
40,0.5,1,3,703,[1. 1.],1.5402114743987645e-24
40,0.5,1,3,488,[1. 1.],2.0733422813626684e-18
40,0.5,1,3,546,[1. 1.],4.015671476742886e-23
40,0.5,1,3,609,[1. 1.],4.520258090216929e-23
40,0.5,1,3,492,[1. 1.],2.0499651211320672e-22
40,0.5,1,3,797,[1. 1.],3.2999654039108654e-27
40,0.5,1,3,539,[1. 1.],2.4449211020800977e-21
40,0.5,1,3,552,[1. 1.],3.396163229187933e-21
40,0.5,1,3,657,[1. 1.],5.048214783196449e-25
40,0.5,1,3,551,[1. 1.],4.0355954543617606e-26
40,0.5,1,3,737,[1. 1.],2.2625516837870145e-28
40,0.5,1,3,609,[1. 1.],7.970504104743765e-24
40,0.5,1,3,599,[1. 1.],7.534709109340033e-23
40,0.5,1,3,497,[1. 1.],1.435125102150062e-19
40,0.5,1,3,625,[1. 1.],1.0315527794208983e-24
40,0.5,1,3,581,[1. 1.],1.1263904363438796e-19
40,0.5,1,3,622,[1. 1.],2.821586843887449e-23
40,0.5,1,3,574,[1. 1.],1.6576651500986724e-22
40,0.5,1,3,782,[1. 1.],6.923087677645518e-26
40,0.5,1,3,534,[1. 1.],4.2152813889335507e-23
40,0.5,1,3,613,[1. 1.],2.9662270694488054e-23
40,0.5,1,3,586,[1. 1.],2.9889951137307263e-20
40,0.5,1,3,639,[1. 1.],6.981912049271718e-28
40,0.5,1,3,736,[1. 1.],1.559996867152481e-22
40,0.5,1,3,631,[1. 1.],3.1856646656700495e-21
40,0.5,1,3,661,[1. 1.],1.1976983570840814e-22
40,0.5,1,3,590,[1. 1.],1.2735320312409765e-21
40,0.5,1,3,503,[1. 1.],4.81443531159233e-24
40,0.5,1,3,583,[1. 1.],2.618023298939779e-21
40,0.5,1,3,538,[1. 1.],6.291877101281356e-20
40,0.5,1,3,590,[1. 1.],4.404695366368871e-23
40,0.5,1,3,693,[1. 1.],2.838751712697579e-23
