particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,267,[0.99999994 0.99999988],4.3110493880497684e-15
40,0.5,1,1,359,[1.00000024 1.00000049],6.44908269097895e-14
40,0.5,1,1,418,[1. 1.],5.57396465664739e-20
40,0.5,1,1,291,[1.00000001 1.00000002],1.228227199820006e-16
40,0.5,1,1,317,[1.00000003 1.00000006],7.77125201883518e-16
40,0.5,1,1,415,[1.00000105 1.0000021 ],1.1104296053851994e-12
40,0.5,1,1,193,[1.00000003 1.00000006],2.3965920328831716e-15
40,0.5,1,1,218,[1.00000005 1.00000009],2.1733797804605846e-15
40,0.5,1,1,302,[0.99999998 0.99999996],4.3655619490908505e-16
40,0.5,1,1,221,[1. 1.],1.3608148598276387e-19
40,0.5,1,1,215,[0.99999816 0.99999636],3.4698892076823246e-12
40,0.5,1,1,300,[1. 1.],4.241272862594801e-22
40,0.5,1,1,448,[1. 1.],4.426760788721816e-19
40,0.5,1,1,214,[1. 1.],1.946343643203892e-18
40,0.5,1,1,237,[1. 1.],3.2503020867959874e-22
40,0.5,1,1,349,[1. 1.],3.014262371582475e-18
40,0.5,1,1,265,[1.00000158 1.0000032 ],2.6901970676627572e-12
40,0.5,1,1,189,[1.00000034 1.00000069],1.2654144592934261e-13
40,0.5,1,1,257,[1.00000001 1.00000002],1.033294083997044e-15
40,0.5,1,1,403,[1. 1.],9.826139750876453e-22
40,0.5,1,1,191,[1.         0.99999999],1.322464243861899e-17
40,0.5,1,1,190,[0.99999999 0.99999998],1.2563386946706897e-16
40,0.5,1,1,631,[0.99999999 0.99999997],1.9903819399225293e-16
40,0.5,1,1,225,[1.00000001 1.00000002],3.813318314623005e-16
40,0.5,1,1,325,[1.00000007 1.00000014],5.9815510380381125e-15
40,0.5,1,1,204,[1.         1.00000001],7.50963070579081e-18
40,0.5,1,1,232,[1.00000156 1.00000313],2.4361774381393896e-12
40,0.5,1,1,241,[1. 1.],8.44931966089206e-20
40,0.5,1,1,213,[1. 1.],2.910380976320104e-20
40,0.5,1,1,251,[1. 1.],3.726337734895557e-18
40,0.5,1,1,192,[1. 1.],3.9522319028592023e-19
40,0.5,1,1,253,[0.99999938 0.99999875],3.9265237203856573e-13
40,0.5,1,1,314,[1. 1.],2.589915605813546e-21
40,0.5,1,1,284,[1.0000021  1.00000423],4.530203583654658e-12
40,0.5,1,1,257,[1. 1.],4.4192641420869394e-17
40,0.5,1,1,191,[1. 1.],5.188993822621327e-18
40,0.5,1,1,224,[1. 1.],1.0245282383636883e-21
40,0.5,1,1,636,[1. 1.],1.7084618779102686e-23
40,0.5,1,1,669,[1. 1.],0.0
40,0.5,1,1,322,[0.99999989 0.99999978],1.2129637516386317e-14
40,0.5,1,1,444,[0.99999998 0.99999997],2.6035319370604058e-16
40,0.5,1,1,685,[1.00000321 1.00000639],1.0362945581683308e-11
40,0.5,1,1,445,[1.00000165 1.00000333],2.862100925754867e-12
40,0.5,1,1,235,[1. 1.],4.846872283966734e-22
40,0.5,1,1,206,[1.         1.00000001],7.928466585363105e-18
40,0.5,1,1,194,[1.00000006 1.00000012],3.630902070840268e-15
40,0.5,1,1,224,[0.999998 0.999996],3.99952543093267e-12
40,0.5,1,1,240,[1.         1.00000001],8.203661842228447e-18
40,0.5,1,1,189,[1.00000005 1.00000011],2.8549792133761794e-15
40,0.5,1,1,237,[1.         0.99999999],6.716620796317286e-18
40,0.5,1,1,480,[1.00000021 1.00000043],4.659049360536674e-14
40,0.5,1,1,550,[1. 1.],3.293600176836132e-21
40,0.5,1,1,556,[0.99999996 0.99999992],2.107455580059603e-15
40,0.5,1,1,477,[1. 1.],0.0
40,0.5,1,1,308,[1. 1.],2.26750697512218e-18
40,0.5,1,1,202,[0.99999999 0.99999998],7.038550705253835e-16
40,0.5,1,1,865,[1. 1.],0.0
40,0.5,1,1,177,[0.99999996 0.99999993],1.2969023649154491e-15
40,0.5,1,1,244,[1. 1.],1.2896795683383948e-20
40,0.5,1,1,715,[0.99999996 0.99999993],2.6130605104251256e-15
40,0.5,1,1,316,[1. 1.],2.942069022669601e-24
40,0.5,1,1,260,[1. 1.],7.511461862133512e-22
40,0.5,1,1,245,[1. 1.],8.61860274341702e-19
40,0.5,1,1,207,[0.99999995 0.9999999 ],4.162890275773861e-15
40,0.5,1,1,613,[1.00000001 1.00000002],8.737913312576442e-16
40,0.5,1,1,213,[1. 1.],1.6023048804116899e-19
40,0.5,1,1,192,[1. 1.],1.3872073119549058e-21
40,0.5,1,1,358,[1.         1.00000001],5.445020326627405e-16
40,0.5,1,1,317,[1. 1.],2.9954053703470108e-18
40,0.5,1,1,375,[1.         1.00000001],3.73699577834153e-17
40,0.5,1,1,279,[1. 1.],6.087932752465904e-23
40,0.5,1,1,242,[1. 1.],3.1712821146416214e-18
40,0.5,1,1,235,[1. 1.],9.270529291896712e-20
40,0.5,1,1,153,[0.99999997 0.99999994],1.402691736981433e-15
40,0.5,1,1,228,[1. 1.],8.813722134465482e-21
