particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,201,[1. 1.],1.9339687654063442e-19
40,0.5,1,1,392,[1. 1.],2.8586917128209954e-24
40,0.5,1,1,155,[1.0000001  1.00000019],9.376402326463326e-15
40,0.5,1,1,201,[0.99999729 0.9999946 ],7.324489530453837e-12
40,0.5,1,1,178,[1. 1.],9.164885085420662e-20
40,0.5,1,1,261,[0.99999998 0.99999997],6.313021896983408e-16
40,0.5,1,1,513,[1.         1.00000001],3.39225177140314e-16
40,0.5,1,1,183,[0.99999996 0.99999993],1.3349125128258551e-15
40,0.5,1,1,759,[1. 1.],1.0348930630126369e-24
40,0.5,1,1,462,[1.00000003 1.00000005],1.0649504667114379e-15
40,0.5,1,1,494,[1.00000786 1.00001584],6.330205558237585e-11
40,0.5,1,1,297,[1. 1.],2.0229457518401496e-18
40,0.5,1,1,445,[1.         1.00000001],6.999736934449907e-17
40,0.5,1,1,256,[1. 1.],5.432067077882545e-20
40,0.5,1,1,429,[1. 1.],2.471232423350028e-19
40,0.5,1,1,203,[1.         1.00000001],9.069897525727107e-18
40,0.5,1,1,277,[1.         0.99999999],1.2748228459699873e-17
40,0.5,1,1,265,[1.00000002 1.00000003],3.04733595907184e-16
40,0.5,1,1,197,[0.9999993  0.99999859],4.971228932537189e-13
40,0.5,1,1,302,[0.99999999 0.99999997],2.4239210211454925e-16
40,0.5,1,1,629,[1. 1.],1.0122860351022329e-26
40,0.5,1,1,343,[1. 1.],4.37318575964616e-20
40,0.5,1,1,368,[1. 1.],1.232595164407831e-30
40,0.5,1,1,719,[1.00000003 1.00000007],1.2530190267766563e-15
40,0.5,1,1,165,[1.00000005 1.00000011],3.459387891041637e-15
40,0.5,1,1,594,[1. 1.],0.0
40,0.5,1,1,372,[1. 1.],1.0723745830418513e-18
40,0.5,1,1,221,[1.00000013 1.00000027],1.8832064157500833e-14
40,0.5,1,1,369,[1.00000001 1.00000001],2.735993953008357e-17
40,0.5,1,1,266,[1.00000007 1.00000015],5.65133654451766e-15
40,0.5,1,1,738,[1.00000007 1.00000014],4.842296824774378e-15
40,0.5,1,1,279,[1. 1.],1.153591816956981e-18
40,0.5,1,1,207,[1.00000004 1.00000007],1.2632968613710647e-15
40,0.5,1,1,246,[1. 1.],1.754759065732121e-18
40,0.5,1,1,287,[1. 1.],5.107834129399885e-24
40,0.5,1,1,226,[0.99999823 0.99999644],3.1583612676165073e-12
40,0.5,1,1,252,[1.00000051 1.00000102],2.6471880697627026e-13
40,0.5,1,1,320,[1.         1.00000001],6.390457493328019e-18
40,0.5,1,1,234,[1.00000012 1.00000025],1.5357090400668128e-14
40,0.5,1,1,329,[1.00000014 1.00000028],2.014314041030464e-14
40,0.5,1,1,168,[1.00000003 1.00000005],2.0489745848375757e-15
40,0.5,1,1,219,[0.99999762 0.99999519],5.894838222548611e-12
40,0.5,1,1,217,[1. 1.],9.491534485604957e-20
40,0.5,1,1,243,[1. 1.],9.569912378199572e-18
40,0.5,1,1,192,[1. 1.],4.484421467401702e-21
40,0.5,1,1,257,[1. 1.],5.3353996779249976e-18
40,0.5,1,1,482,[1. 1.],8.974175422570761e-18
40,0.5,1,1,278,[1. 1.],2.9352813557853264e-22
40,0.5,1,1,185,[0.99999995 0.99999989],2.7590573942178862e-15
40,0.5,1,1,223,[1. 1.],4.539526195695365e-20
40,0.5,1,1,257,[1.00000005 1.0000001 ],2.5506950788967783e-15
40,0.5,1,1,185,[0.99999971 0.99999942],8.39022057627342e-14
40,0.5,1,1,199,[1. 1.],1.2436698662957446e-18
40,0.5,1,1,271,[1. 1.],2.025141558752706e-21
40,0.5,1,1,553,[1. 1.],2.2926846580752354e-19
40,0.5,1,1,228,[1. 1.],3.5718580168904957e-19
40,0.5,1,1,271,[1. 1.],3.5233632158490596e-19
40,0.5,1,1,408,[1. 1.],2.5847027559566452e-27
40,0.5,1,1,284,[1. 1.],1.5445571097533592e-21
40,0.5,1,1,197,[1.00000003 1.00000006],1.0337404983496645e-15
40,0.5,1,1,194,[0.99999917 0.99999834],6.87090825557677e-13
40,0.5,1,1,366,[1. 1.],9.712080311943542e-20
40,0.5,1,1,712,[1. 1.],1.9574056917207805e-24
40,0.5,1,1,222,[1. 1.],1.3050954705240851e-19
40,0.5,1,1,263,[1.00000002 1.00000004],4.620933580729311e-16
40,0.5,1,1,248,[1. 1.],1.1640565169585052e-19
40,0.5,1,1,812,[1. 1.],4.2467464015958085e-25
40,0.5,1,1,197,[1. 1.],2.718033692273668e-18
40,0.5,1,1,223,[1. 1.],1.9002256690970782e-22
40,0.5,1,1,186,[1. 1.],6.458771861788833e-18
40,0.5,1,1,265,[1. 1.],1.4672167992624608e-23
40,0.5,1,1,196,[1.00000002 1.00000005],5.910900091036147e-16
40,0.5,1,1,224,[0.99999981 0.99999961],4.0919185047610134e-14
40,0.5,1,1,224,[1.00000015 1.0000003 ],2.2965718044513398e-14
40,0.5,1,1,202,[0.99999775 0.99999551],5.055166793556133e-12
